num;question;a;b;c;d;solution;area_code;area;thema;image;Tags
1;In Deutschland dürfen Menschen offen etwas gegen die Regierung sagen, weil ...;hier Religionsfreiheit gilt.;die Menschen Steuern zahlen.;die Menschen das Wahlrecht haben.;hier Meinungsfreiheit gilt.;d;politik;Politik in der Demokratie;Grundrechte;-;
2;In Deutschland können Eltern bis zum 14. Lebensjahr ihres Kindes entscheiden, ob es in der Schule am ...;Geschichtsunterricht teilnimmt.;Religionsunterricht teilnimmt.;Politikunterricht teilnimmt.;Sprachunterricht teilnimmt.;b;politik;Politik in der Demokratie;Grundrechte;-;
3;Deutschland ist ein Rechtsstaat. Was ist damit gemeint?;Alle Einwohner / Einwohnerinnen und der Staat müssen sich an die Gesetze halten.;Der Staat muss sich nicht an die Gesetze halten.;Nur Deutsche müssen die Gesetze befolgen.;Die Gerichte machen die Gesetze.;a;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
4;Welches Recht gehört zu den Grundrechten in Deutschland?;Waffenbesitz;Faustrecht;Meinungsfreiheit;Selbstjustiz;c;politik;Politik in der Demokratie;Grundrechte;-;
5;Wahlen in Deutschland sind frei. Was bedeutet das?;Man darf Geld annehmen, wenn man dafür einen bestimmten Kandidaten / eine bestimmte Kandidatin wählt.;Der Wähler darf bei der Wahl weder beeinflusst noch zu einer bestimmten Stimmabgabe gezwungen werden und keine Nachteile durch die Wahl haben.;Nur Personen, die noch nie im Gefängnis waren, dürfen wählen.;Alle wahlberechtigten Personen müssen wählen.;b;politik;Politik in der Demokratie;Wahlen und Beteiligung;-;
6;Wie heißt die deutsche Verfassung?;Volksgesetz;Bundesgesetz;Deutsches Gesetz;Grundgesetz;d;politik;Politik in der Demokratie;Verfassungsprinzipien;-;
7;Welches Recht gehört zu den Grundrechten, die nach der deutschen Verfassung garantiert werden? Das Recht auf ...;Glaubens- und Gewissensfreiheit;Unterhaltung;Arbeit;Wohnung;a;politik;Politik in der Demokratie;Grundrechte;-;
8;Was steht nicht im Grundgesetz von Deutschland?;Die Würde des Menschen ist unantastbar.;Alle sollen gleich viel Geld haben.;Jeder Mensch darf seine Meinung sagen.;Alle sind vor dem Gesetz gleich.;b;politik;Politik in der Demokratie;Grundrechte;-;
9;Welches Grundrecht gilt in Deutschland nur für Ausländer / Ausländerinnen? Das Grundrecht auf ...;Schutz der Familie;Menschenwürde;Asyl;Meinungsfreiheit;c;politik;Politik in der Demokratie;Grundrechte;-;
10;Was ist mit dem deutschen Grundgesetz vereinbar?;die Prügelstrafe;die Folter;die Todesstrafe;die Geldstrafe;d;politik;Politik in der Demokratie;Grundrechte;-;
